Unnamed: 0,Id,LLM,role_shorten,user_story,Implied ethical needs,nfr_type,label
A32,US9,O1-mini,researcher,"As a marketing analyst, I want to leverage enhanced stance detection models, so that I can gain deeper insights into consumer attitudes and tailor marketing strategies accordingly.",,,No
A34,US7,O1-mini,developer,"As a software developer, I want to implement flexible DNN models that learn high-dimensional feature representations, so that my IDS can adapt to dynamic network behaviors and rapidly evolving attacks.",,Adaptability -  Flexibility,Yes
A24,US4,Gemini,student,"As a student, I want to easily find relevant publications and researchers for my research projects and assignments.",,Accuracy -  Efficiency,Yes
A29,US3,O1-mini,genealogist,"As a genealogist, I want a standardized and transparent census matching technique, so that I can consistently replicate record linkages across various historical datasets.",Transparency,Transparency,Yes
A2,US2,O1-mini,teacher,"As a teacher, I want daily reports on students' aggression levels from wearable sensors, so I can implement effective classroom strategies.",,,No
A8,US7,Llama,caregiver,"As a caregiver, I want to receive alerts and notifications when anomalies are detected in a patient's health data, enabling me to provide timely and targeted care.",,Reliability,Yes
A5,US9,Llama,IT specialist,"As a Robot Maintenance Technician, I want to easily access and update the GoCart robot's software and firmware so that I can ensure it remains functional and efficient.",,Maintainability - Efficiency,Yes
A3,US5,Llama,user,"As a social media user, I want to feel safe online and know that aggressive behavior is being detected and addressed in real-time, so that I can engage in online conversations without fear of harassment.",,Performance -  Reliability,Yes
A40,US4,Gemini,member of the Pokec social network community,"As a member of the Pokec social network community, I want confidence that proactive measures are in place to protect my account from cybercriminals, preserving my personal information and the integrity of my online interactions.",Security/Non-maleficence -  Privacy,Security -  Privacy -  Integrity,Yes
A41,US4,Llama,resturant owner,"As a restaurant owner, I want to implement a self-service system that can automatically recognize and categorize food items, so that I can improve the efficiency and accuracy of my service.",,,No
A22,US8,Llama,administrator,"As a system administrator, I want to evaluate the proposed framework on a large dataset of jobs and applicants so that I can determine its effectiveness in improving hiring decisions.",,,No
A1,US5,O1-mini,passenger,"As a passenger, I want the AV to navigate autonomously through traffic using AI and IoT, so that my travel is seamless and stress-free.",,,No
A26,US7,Gemini,developer,"As a platform developer, I want to integrate personalized justification models into my platform to provide users with a more explainable and engaging experience.",Transparency,Explainability -  Interoperability -  Usability,Yes
A36,US10,Gemini,global citizen,"As a global citizen, I want to see smart cities adopt innovative technologies like wireless sensor networks to improve traffic flow, safety, and sustainability for all.",Non-maleficence(Safety) -  Beneficence -  Justice/fairness,,No
A37,US9,Llama,sports fan,"As a fantasy sports enthusiast, I want to track player performance over time using data visualization, so that I can identify trends and patterns that inform my decisions.",,,No
A13,US2,Gemini,pharmaceutical company scientist,"As a pharmaceutical company scientist, I want the platform to predict potential combinations of existing drugs that may have a synergistic effect in treating AD.",,,No
A23,US7,Llama,developer,"As a developer, I want to apply the PAWS platform to analyze news search results on Google and Bing so that I can identify any biases or preferences.",Justice/fairness,Bias -  Interpretability,Yes
A31,US5,Llama,developer,"As a search engine developer, I want to be able to identify and filter out advertisements from search results, so that users can get more relevant and accurate results.",,Accuracy,Yes
A20,US2,Gemini,researcher,"As a researcher, I want to access the system's performance metrics, such as accuracy and feature importance, to evaluate the effectiveness of the drug abuse prediction models.",,Accuracy - Testability - Performance,Yes
A39,US6,O1-mini,product manager,"As a product manager, I want to utilize the machine learning-based approach to forecast playlist popularity, so that we can prioritize and feature playlists that are more likely to succeed.",,,No
A3,US10,Gemini,person,"As a person concerned about online harassment, I want a browser extension or mobile app that filters out potentially aggressive content from my social media feeds so that I can curate a more positive online experience.",,,No
A3,US8,O1-mini,content moderator,"As a content strategist, I want insights from aggression detection to inform policy updates, so the platform can proactively manage evolving online threats.",Transparency,,No
A31,US2,Llama,researcher,"As a researcher, I want to develop an approach to differentiate advertisements on internet pages, so that I can improve the overall quality of online experiences.",,,No
A10,US4,Llama,person,"As a person with diabetes, I want to receive alerts 30 minutes in advance of hypoglycemic events, so that I can take action to prevent them and avoid serious consequences.",,Performance,Yes
A19,US9,Gemini,advocate,"As a consumer advocate, I want to ensure that credit card companies use these models transparently and fairly, and that consumers have access to their credit scores and the factors used to assess their creditworthiness.",Justice/fairness - Transparency - Human Autonomy,Transparency - Explainability - Fairness,Yes
A21,US6,O1-mini,customer,"As a customer support manager, I want to train support staff to recognize and address biased customer reviews, so that workers are treated fairly and discrimination is minimized.",Justice/fairness - Non-maleficence,,No
